HP Category,Year,Month,u.CAGI,d.CAGI,u.IR,d.IR,u.NonIR,d.NonIR
10 hp,2009,1,218,1178948,56,319316,162,859632
10 hp,2009,2,200,1066974,44,248806,156,818168
10 hp,2009,3,272,1399758,52,285730,220,1114028
10 hp,2009,4,178,996182,42,235730,136,760452
10 hp,2009,5,200,1117158,60,333908,140,783250
10 hp,2009,6,258,1356456,70,371568,188,984888
10 hp,2009,7,270,1358426,68,343940,202,1014486
10 hp,2009,8,260,1170142,48,236706,212,933436
10 hp,2009,9,402,1876124,74,386406,328,1489718
10 hp,2009,10,234,1234650,74,370878,160,863772
10 hp,2009,11,250,1215374,66,328512,184,886862
10 hp,2009,12,262,1459032,80,398090,182,1060942
10 hp,2010,1,184,1050048,40,201974,144,848074
10 hp,2010,2,190,1041078,42,209250,148,831828
10 hp,2010,3,312,1758544,58,306082,254,1452462
10 hp,2010,4,188,1054358,50,284852,138,769506
10 hp,2010,5,296,1268726,54,302220,242,966506
10 hp,2010,6,346,1766440,52,273722,294,1492718
10 hp,2010,7,330,1482070,64,324714,266,1157356
10 hp,2010,8,342,1542542,60,304088,282,1238454
10 hp,2010,9,452,1882388,64,328038,388,1554350
10 hp,2010,10,258,1366358,54,279800,204,1086558
10 hp,2010,11,278,1505464,66,332336,212,1173128
10 hp,2010,12,388,1849828,88,427148,300,1422680
10 hp,2011,1,226,1254802,46,229208,180,1025594
10 hp,2011,2,262,1391168,46,227958,216,1163210
10 hp,2011,3,442,2148814,72,375700,370,1773114
10 hp,2011,4,294,1511188,42,206808,252,1304380
10 hp,2011,5,356,1712444,52,257578,304,1454866
10 hp,2011,6,554,2475180,54,268216,500,2206964
10 hp,2011,7,508,2135256,48,239926,460,1895330
10 hp,2011,8,486,2232946,80,417234,406,1815712
10 hp,2011,9,548,2584980,92,475812,456,2109168
10 hp,2011,10,344,1762892,48,244512,296,1518380
10 hp,2011,11,320,1717834,86,399394,234,1318440
10 hp,2011,12,406,2273340,86,433412,320,1839928
10 hp,2012,1,290,1675606,42,209862,248,1465744
10 hp,2012,2,398,2207660,110,540982,288,1666678
10 hp,2012,3,444,2444242,106,520128,338,1924114
10 hp,2012,4,368,1986294,62,308574,306,1677720
10 hp,2012,5,482,2287008,74,378636,408,1908372
10 hp,2012,6,428,2288512,72,353272,356,1935240
10 hp,2012,7,416,2307460,98,507560,318,1799900
10 hp,2012,8,420,2054136,76,390636,344,1663500
10 hp,2012,9,402,2103286,52,267290,350,1835996
10 hp,2012,10,400,2161064,62,337252,338,1823812
10 hp,2012,11,388,2206844,92,498488,296,1708356
10 hp,2012,12,394,2260564,104,550204,290,1710360
10 hp,2013,1,358,2064074,76,399630,282,1664444
10 hp,2013,2,406,2293626,112,587162,294,1706464
10 hp,2013,3,392,2169230,82,415354,310,1753876
10 hp,2013,4,474,2468444,100,531614,374,1936830
10 hp,2013,5,490,2566232,104,565160,386,2001072
10 hp,2013,6,464,2350834,86,444386,378,1906448
10 hp,2013,7,368,2025940,92,491792,276,1534148
10 hp,2013,8,482,2592014,94,521744,388,2070270
10 hp,2013,9,460,2389344,96,464814,364,1924530
10 hp,2013,10,396,2205798,76,423022,320,1782776
10 hp,2013,11,470,2722910,92,494082,378,2228828
10 hp,2013,12,484,2723290,100,533702,384,2189588
10 hp,2014,1,406,2507608,110,606268,296,1901340
10 hp,2014,2,376,2154678,94,500526,282,1654152
10 hp,2014,3,404,2413078,86,473120,318,1939958
10 hp,2014,4,568,2973512,104,552410,464,2421102
10 hp,2014,5,205,1118660,92,501449.4,159,867935.3
10 hp,2014,6,634,3069538,118,662806.24,516,2406731.76
10 hp,2014,7,,,,,,
10 hp,2014,8,,,,,,
10 hp,2014,9,,,,,,
10 hp,2014,10,,,,,,
10 hp,2014,11,,,,,,
10 hp,2014,12,,,,,,
100 hp,2009,1,128,3400652,42,1098086,86,2302566
100 hp,2009,2,114,3081156,24,645742,90,2435414
100 hp,2009,3,120,3335262,40,1131892,80,2203370
100 hp,2009,4,112,2992632,36,924794,76,2067838
100 hp,2009,5,78,2153802,26,735656,52,1418146
100 hp,2009,6,156,4179414,50,1262718,106,2916696
100 hp,2009,7,100,2851080,22,624996,78,2226084
100 hp,2009,8,134,3925488,38,994744,96,2930744
100 hp,2009,9,126,3589132,24,630340,102,2958792
100 hp,2009,10,120,3162878,34,889908,86,2272970
100 hp,2009,11,134,3570258,26,698312,108,2871946
100 hp,2009,12,186,5311434,26,743884,160,4567550
100 hp,2010,1,114,2997528,14,354210,100,2643318
100 hp,2010,2,152,4072330,50,1235366,102,2836964
100 hp,2010,3,186,4959436,52,1262144,134,3697292
