,HP Category_x,Year,Month,u.CAGI,d.CAGI,u.IR,d.IR,u.NonIR,d.NonIR,HP Category_y,u.CAGI_3mths,d.CAGI_3mths,u.IR_3mths,d.IR_3mths,u.NonIR_3mths,d.NonIR_3mths,u.CAGI_6mths,d.CAGI_6mths,u.IR_6mths,d.IR_6mths,u.NonIR_6mths,d.NonIR_6mths
0,10 hp,2009,1,218.0,1178948.0,56.0,319316.0,162.0,859632.0,10 hp,218.0,1178948.0,56.0,319316.0,162.0,859632.0,218.0,1178948.0,56.0,319316.0,162.0,859632.0
1,10 hp,2009,2,200.0,1066974.0,44.0,248806.0,156.0,818168.0,10 hp,209.0,1122961.0,50.0,284061.0,159.0,838900.0,209.0,1122961.0,50.0,284061.0,159.0,838900.0
2,10 hp,2009,3,272.0,1399758.0,52.0,285730.0,220.0,1114028.0,10 hp,230.0,1215226.6666666667,50.666666666666664,284617.3333333333,179.33333333333334,930609.3333333334,230.0,1215226.6666666667,50.666666666666664,284617.3333333333,179.33333333333334,930609.3333333334
3,10 hp,2009,4,178.0,996182.0,42.0,235730.0,136.0,760452.0,10 hp,216.66666666666666,1154304.6666666667,46.0,256755.33333333334,170.66666666666666,897549.3333333334,217.0,1160465.5,48.5,272395.5,168.5,888070.0
4,10 hp,2009,5,200.0,1117158.0,60.0,333908.0,140.0,783250.0,10 hp,216.66666666666666,1171032.6666666667,51.333333333333336,285122.6666666667,165.33333333333334,885910.0,213.6,1151804.0,50.8,284698.0,162.8,867106.0
5,10 hp,2009,6,258.0,1356456.0,70.0,371568.0,188.0,984888.0,10 hp,212.0,1156598.6666666667,57.333333333333336,313735.3333333333,154.66666666666666,842863.3333333334,221.0,1185912.6666666667,54.0,299176.3333333333,167.0,886736.3333333334
6,10 hp,2009,7,270.0,1358426.0,68.0,343940.0,202.0,1014486.0,10 hp,242.66666666666666,1277346.6666666667,66.0,349805.3333333333,176.66666666666666,927541.3333333334,229.66666666666666,1215825.6666666667,56.0,303280.3333333333,173.66666666666666,912545.3333333334
7,10 hp,2009,8,260.0,1170142.0,48.0,236706.0,212.0,933436.0,10 hp,262.6666666666667,1295008.0,62.0,317404.6666666667,200.66666666666666,977603.3333333334,239.66666666666666,1233020.3333333333,56.666666666666664,301263.6666666667,183.0,931756.6666666666
8,10 hp,2009,9,402.0,1876124.0,74.0,386406.0,328.0,1489718.0,10 hp,310.6666666666667,1468230.6666666667,63.333333333333336,322350.6666666667,247.33333333333334,1145880.0,261.3333333333333,1312414.6666666667,60.333333333333336,318043.0,201.0,994371.6666666666
9,10 hp,2009,10,234.0,1234650.0,74.0,370878.0,160.0,863772.0,10 hp,298.6666666666667,1426972.0,65.33333333333333,331330.0,233.33333333333334,1095642.0,270.6666666666667,1352159.3333333333,65.66666666666667,340567.6666666667,205.0,1011591.6666666666
