RecordID,HP Category,Year,Month,u.CAGI,d.CAGI,u.IR,d.IR,u.NonIR,d.NonIR,r3mo_d_CAGI,r3mo_d_IR,r3mo_d_NonIR,r3mo_u_CAGI,r3mo_u_IR,r3mo_u_NonIR,r6mo_d_CAGI,r6mo_d_IR,r6mo_d_NonIR,r6mo_u_CAGI,r6mo_u_IR,r6mo_u_NonIR
1,10 hp,2009,1,218,1178948,56,319316,162,859632,1178948,319316,859632,218,56,162,1178948,319316,859632,218,56,162
2,10 hp,2009,2,200,1066974,44,248806,156,818168,1141623.33333333,295812.666666667,845810.666666667,212,52,160,1160285.66666667,307564.333333333,852721.333333333,215,54,161
3,10 hp,2009,3,272,1399758,52,285730,220,1114028,1215226.66666667,284617.333333333,930609.333333333,230,50.6666666666667,179.333333333333,1197087.33333333,301966.666666667,895120.666666667,224,53.3333333333333,170.666666666667
4,10 hp,2009,4,178,996182,42,235730,136,760452,1154304.66666667,256755.333333333,897549.333333333,216.666666666667,46,170.666666666667,1166626.33333333,288035.666666667,878590.666666667,217.333333333333,51,166.333333333333
5,10 hp,2009,5,200,1117158,60,333908,140,783250,1171032.66666667,285122.666666667,885910,216.666666666667,51.3333333333333,165.333333333333,1156328,290467.666666667,865860.333333333,214.333333333333,51.6666666666667,162.666666666667
6,10 hp,2009,6,258,1356456,70,371568,188,984888,1156598.66666667,313735.333333333,842863.333333333,212,57.3333333333333,154.666666666667,1185912.66666667,299176.333333333,886736.333333333,221,54,167
7,10 hp,2009,7,270,1358426,68,343940,202,1014486,1277346.66666667,349805.333333333,927541.333333333,242.666666666667,66,176.666666666667,1215825.66666667,303280.333333333,912545.333333333,229.666666666667,56,173.666666666667
8,10 hp,2009,8,260,1170142,48,236706,212,933436,1295008,317404.666666667,977603.333333333,262.666666666667,62,200.666666666667,1233020.33333333,301263.666666667,931756.666666667,239.666666666667,56.6666666666667,183
9,10 hp,2009,9,402,1876124,74,386406,328,1489718,1468230.66666667,322350.666666667,1145880,310.666666666667,63.3333333333333,247.333333333333,1312414.66666667,318043,994371.666666667,261.333333333333,60.3333333333333,201
10,10 hp,2009,10,234,1234650,74,370878,160,863772,1426972,331330,1095642,298.666666666667,65.3333333333333,233.333333333333,1352159.33333333,340567.666666667,1011591.66666667,270.666666666667,65.6666666666667,205
11,10 hp,2009,11,250,1215374,66,328512,184,886862,1442049.33333333,361932,1080117.33333333,295.333333333333,71.3333333333333,224,1368528.66666667,339668.333333333,1028860.33333333,279,66.6666666666667,212.333333333333
12,10 hp,2009,12,262,1459032,80,398090,182,1060942,1303018.66666667,365826.666666667,937192,248.666666666667,73.3333333333333,175.333333333333,1385624.66666667,344088.666666667,1041536,279.666666666667,68.3333333333333,211.333333333333
13,10 hp,2010,1,184,1050048,40,201974,144,848074,1241484.66666667,309525.333333333,931959.333333333,232,62,170,1334228.33333333,320427.666666667,1013800.66666667,265.333333333333,63.6666666666667,201.666666666667
